BLOCO;REGIÃO ;PAÍS;PRODUÇÃO EM mil barris / dia;ANO
OPEP;África;Líbia;928,94521;2017
OPEP;África;Nigéria;1991,391257;2017
NÃO OPEP;África;Sudão;94,61555;2017
NÃO OPEP;África;Sudão do Sul;111,203;2017
NÃO OPEP;África;Tunísia;48,086;2017
NÃO OPEP;África;Outros;303,635047;2017
NÃO OPEP;Ásia-Pacífico;Austrália;348,138174;2017
NÃO OPEP;Ásia-Pacífico;Brunei;113,171604;2017
NÃO OPEP;Ásia-Pacífico;China;3845,860219;2017
NÃO OPEP;Ásia-Pacífico;Índia;884,312365;2017
NÃO OPEP;Ásia-Pacífico;Indonésia;837,971578;2017
NÃO OPEP;Ásia-Pacífico;Malásia;682,79623;2017
NÃO OPEP;Ásia-Pacífico;Tailândia;483,348356;2017
NÃO OPEP;Ásia-Pacífico;Vietnã;298,17474;2017
NÃO OPEP;Ásia-Pacífico;Outros;280,671901;2017
NÃO OPEP;América do Norte;Canadá;5208,366395;2018
NÃO OPEP;América do Norte;Estados Unidos;15310,69123;2018
NÃO OPEP;América do Norte;México;2068,371143;2018
NÃO OPEP;Américas Central e do Sul;Argentina;591,808071;2018
NÃO OPEP;Américas Central e do Sul;Brasil (1);2682,516849;2018
NÃO OPEP;Américas Central e do Sul;Colômbia;866,100731;2018
OPEP;Américas Central e do Sul;Equador;517,230716;2018
NÃO OPEP;Américas Central e do Sul;Peru;153,625912;2018
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;87,316538;2018
OPEP;Américas Central e do Sul;Venezuela;1513,861258;2018
NÃO OPEP;Américas Central e do Sul;Outros;124,226366;2018
NÃO OPEP;Europa e Eurásia;Azerbaijão;794,845658;2018
NÃO OPEP;Europa e Eurásia;Cazaquistão;1926,957669;2018
NÃO OPEP;Europa e Eurásia;Dinamarca;116,265054;2018
NÃO OPEP;Europa e Eurásia;Itália;97,151306;2018
NÃO OPEP;Europa e Eurásia;Noruega;1844,296773;2018
NÃO OPEP;Europa e Eurásia;Reino Unido;1085,131125;2018
NÃO OPEP;Europa e Eurásia;Romênia;74,200685;2018
NÃO OPEP;Europa e Eurásia;Rússia;11437,80254;2018
NÃO OPEP;Europa e Eurásia;Turcomenistão;221,52;2018
NÃO OPEP;Europa e Eurásia;Uzbequistão;63,966521;2018
NÃO OPEP;Europa e Eurásia;Outros;343,903376;2018
OPEP;Oriente Médio;Arábia Saudita;12286,84017;2018
OPEP;Oriente Médio;Catar;1878,527745;2018
OPEP;Oriente Médio;Coveite;3048,517885;2018
OPEP;Oriente Médio;Emirados Árabes Unidos;3941,931975;2018
NÃO OPEP;Oriente Médio;Iêmen;67,690415;2018
OPEP;Oriente Médio;Irã;4715,444565;2018
OPEP;Oriente Médio;Iraque;4614,333333;2018
NÃO OPEP;Oriente Médio;Omã;978,387397;2018
NÃO OPEP;Oriente Médio;Síria;24,04918;2018
NÃO OPEP;Oriente Médio;Outros;206,723762;2018
OPEP;África;Argélia;1509,725041;2018
OPEP;África;Angola;1533,969255;2018
NÃO OPEP;África;Chade;100,588886;2018
NÃO OPEP;África;Congo ;332,95;2018
NÃO OPEP;África;Egito;669,756323;2018
OPEP;África;Gabão;194;2018
OPEP;África;Guiné-Equatorial;190,147894;2018
OPEP;África;Líbia;1009,5342;2018
OPEP;África;Nigéria;2051,283906;2018
NÃO OPEP;África;Sudão;100,040775;2018
NÃO OPEP;África;Sudão do Sul;130,7169;2018
NÃO OPEP;África;Tunísia;50,17622;2018
NÃO OPEP;África;Outros;319,965515;2018
NÃO OPEP;Ásia-Pacífico;Austrália;355,853274;2018
NÃO OPEP;Ásia-Pacífico;Brunei;111,507155;2018
NÃO OPEP;Ásia-Pacífico;China;3797,662959;2018
NÃO OPEP;Ásia-Pacífico;Índia;868,885719;2018
NÃO OPEP;Ásia-Pacífico;Indonésia;808,483393;2018
NÃO OPEP;Ásia-Pacífico;Malásia;681,90659;2018
NÃO OPEP;Ásia-Pacífico;Tailândia;484,843288;2018
NÃO OPEP;Ásia-Pacífico;Vietnã;274,72789;2018
NÃO OPEP;Ásia-Pacífico;Outros;249,158521;2018
NÃO OPEP;América do Norte;Canadá;5650,772745;2019
NÃO OPEP;América do Norte;Estados Unidos;17044,6017;2019
NÃO OPEP;América do Norte;México;1918,142825;2019
NÃO OPEP;Américas Central e do Sul;Argentina;620,4096464;2019
NÃO OPEP;Américas Central e do Sul;Brasil;2876,530316;2019
NÃO OPEP;Américas Central e do Sul;Colômbia;885,8298011;2019
OPEP;Américas Central e do Sul;Equador;531,0029676;2019
NÃO OPEP;Américas Central e do Sul;Peru;142,499061;2019
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;82,22122933;2019
OPEP;Américas Central e do Sul;Venezuela;918,2603616;2019
NÃO OPEP;Américas Central e do Sul;Outros;117,7360342;2019
NÃO OPEP;Europa;Dinamarca;102,9563908;2019
NÃO OPEP;Europa;Itália;88,74614855;2019
NÃO OPEP;Europa;Noruega;1730,694209;2019
NÃO OPEP;Europa;Reino Unido;1117,522216;2019
NÃO OPEP;Europa;Romênia;74,81534247;2019
NÃO OPEP;Europa;Outros;298,0316653;2019
NÃO OPEP;Comunidade dos Estados Independentes;Azerbaijão;778,5947855;2019
NÃO OPEP;Comunidade dos Estados Independentes;Cazaquistão;1930,969784;2019
NÃO OPEP;Comunidade dos Estados Independentes;Rússia;11539,57273;2019
NÃO OPEP;Comunidade dos Estados Independentes;Turcomenistão;264,0019178;2019
NÃO OPEP;Comunidade dos Estados Independentes;Uzbequistão;61,97420548;2019
NÃO OPEP;Comunidade dos Estados Independentes;Outros;38,973866;2019
OPEP;Oriente Médio;Arábia Saudita;11832,31924;2019
NÃO OPEP;Oriente Médio;Catar;1882,946435;2019
OPEP;Oriente Médio;Coveite;2995,620101;2019
OPEP;Oriente Médio;Emirados Árabes Unidos;3997,689134;2019
NÃO OPEP;Oriente Médio;Iêmen;97,64931507;2019
OPEP;Oriente Médio;Irã;3534,571781;2019
OPEP;Oriente Médio;Iraque;4779,476074;2019
NÃO OPEP;Oriente Médio;Omã;970,9386301;2019
NÃO OPEP;Oriente Médio;Síria;23,52260017;2019
NÃO OPEP;Oriente Médio;Outros;214,4954087;2019
OPEP;África;Argélia;1486,366548;2019
OPEP;África;Angola;1417,286133;2019
NÃO OPEP;África;Chade;126,877811;2019
OPEP;África;Congo ;339;2019
NÃO OPEP;África;Egito;685,8930408;2019
OPEP;África;Gabão;218;2019
OPEP;África;Guiné-Equatorial;180,1921859;2019
OPEP;África;Líbia;1227,468532;2019
OPEP;África;Nigéria;2109,067949;2019
NÃO OPEP;África;Sudão;102,2177929;2019
NÃO OPEP;África;Sudão do Sul;138,7095947;2019
NÃO OPEP;África;Tunísia;50;2019
NÃO OPEP;África;Outros;317;2019
NÃO OPEP;Ásia-Pacífico;Austrália;490,4932334;2019
NÃO OPEP;Ásia-Pacífico;Brunei;121,2939614;2019
NÃO OPEP;Ásia-Pacífico;China;3835,979781;2019
NÃO OPEP;Ásia-Pacífico;Índia;826,4178294;2019
NÃO OPEP;Ásia-Pacífico;Indonésia;781,3789471;2019
NÃO OPEP;Ásia-Pacífico;Malásia;650,5145441;2019
NÃO OPEP;Ásia-Pacífico;Tailândia;477,0733978;2019
NÃO OPEP;Ásia-Pacífico;Vietnã;236,4449315;2019
NÃO OPEP;Ásia-Pacífico;Outros;230,2393761;2019
